id,task_kind,question_text,answers,correct_answer,poziom,pochodzenie,arkusz,temat,key_nr
550e8400-e29b-41d4-a716-446655440001,closed,Wartość wyrażenia $2^3 \cdot 2^2$ jest równa:,"[{""id"":""A"",""text"":""$32$""},{""id"":""B"",""text"":""$64$""},{""id"":""C"",""text"":""$8$""},{""id"":""D"",""text"":""$4$""}]",A,pp,autorskie,,potęgi,
550e8400-e29b-41d4-a716-446655440002,open,Rozwiąż równanie $3x + 7 = 19$.,,$x = 4$,pp,CKE,,algebra,
550e8400-e29b-41d4-a716-446655440003,closed,Rozwiązaniem nierówności $2x - 5 > 7$ jest przedział:,"[{""id"":""A"",""text"":""$(-\\infty,\\, 1)$""},{""id"":""B"",""text"":""$(1,\\, \\infty)$""},{""id"":""C"",""text"":""$(6,\\, \\infty)$""},{""id"":""D"",""text"":""$(-\\infty,\\, 6)$""}]",C,pp,arkusz,2025-maj-2015-pp-matura,algebra,2
550e8400-e29b-41d4-a716-446655440004,open,Oblicz pochodną funkcji $f(x) = x^3 - 4x$.,,$f'(x) = 3x^2 - 4$,pr,Operon,,analiza,
550e8400-e29b-41d4-a716-446655440005,closed,Która z liczb jest niewymierna?,"[{""id"":""A"",""text"":""$0{,}25$""},{""id"":""B"",""text"":""$\\sqrt{2}$""},{""id"":""C"",""text"":""$\\frac{4}{2}$""},{""id"":""D"",""text"":""$-3$""}]",B,,zbiór,,arytmetyka,
550e8400-e29b-41d4-a716-446655440006,open,Oblicz pole koła o promieniu $5$. Wynik podaj w postaci z $\pi$.,,$25\pi$,,autorskie,2025-maj-2024-null-osmaKlasa,geometria,1
550e8400-e29b-41d4-a716-446655440007,closed,Granica $\displaystyle \lim_{x \rightarrow 0} \frac{\sin x}{x}$ jest równa:,"[{""id"":""A"",""text"":""$0$""},{""id"":""B"",""text"":""$1$""},{""id"":""C"",""text"":""$\\infty$""},{""id"":""D"",""text"":""nie istnieje""}]",B,pr,spółeczność,,analiza,
550e8400-e29b-41d4-a716-446655440008,open,"Uzasadnij, że $\sqrt{2}$ jest liczbą niewymierną.",,"Dowód nie wprost: zakładając, że $\sqrt{2} = \frac{p}{q}$ w postaci skróconej prowadzi do sprzeczności.",pr,CKE,,teoria liczb,
550e8400-e29b-41d4-a716-446655440009,closed,Wartość wyrażenia $\sqrt{48}$ po uproszczeniu to:,"[{""id"":""A"",""text"":""$4\\sqrt{3}$""},{""id"":""B"",""text"":""$6\\sqrt{2}$""},{""id"":""C"",""text"":""$8\\sqrt{6}$""},{""id"":""D"",""text"":""$12$""}]",A,pp,arkusz,2024-czerwiec-2015-pp-matura,pierwiastki,2
550e8400-e29b-41d4-a716-446655440010,closed,Funkcja $f(x)=2x-3$ przyjmuje wartość $0$ dla:,"[{""id"":""A"",""text"":""$x=-\\frac{3}{2}$""},{""id"":""B"",""text"":""$x=\\frac{3}{2}$""},{""id"":""C"",""text"":""$x=3$""},{""id"":""D"",""text"":""$x=-3$""}]",B,pp,arkusz,2023-maj-2023-pp-matura,funkcje,3
550e8400-e29b-41d4-a716-446655440011,open,Rozwiąż układ równań: $\begin{cases} x+y=7 \\ x-y=1 \end{cases}$,,"$x=4$, $y=3$",pp,arkusz,2024-grudzien-2015-pp-matura,algebra,4
550e8400-e29b-41d4-a716-446655440012,closed,Pole trójkąta o podstawie $10$ i wysokości $6$ wynosi:,"[{""id"":""A"",""text"":""$30$""},{""id"":""B"",""text"":""$60$""},{""id"":""C"",""text"":""$16$""},{""id"":""D"",""text"":""$20$""}]",A,pp,arkusz,2022-sierpien-2015-pp-matura,geometria,2
550e8400-e29b-41d4-a716-446655440013,closed,Które zdanie jest prawdziwe dla liczb dodatnich $a$ i $b$?,"[{""id"":""A"",""text"":""$\\sqrt{a+b}=\\sqrt{a}+\\sqrt{b}$""},{""id"":""B"",""text"":""$\\sqrt{ab}=\\sqrt{a}\\cdot\\sqrt{b}$""},{""id"":""C"",""text"":""$(a+b)^2=a^2+b^2$""},{""id"":""D"",""text"":""$\\frac{1}{a+b}=\\frac{1}{a}+\\frac{1}{b}$""}]",B,pp,CKE,2025-czerwiec-2023-pp-matura,algebra,1
550e8400-e29b-41d4-a716-446655440014,open,Oblicz $\sin 30^\circ + \cos 60^\circ$.,,$1$,pp,arkusz,2023-czerwiec-2015-pp-matura,trygonometria,3
550e8400-e29b-41d4-a716-446655440015,closed,Pochodna funkcji $f(x)=5x^4$ wynosi:,"[{""id"":""A"",""text"":""$20x^3$""},{""id"":""B"",""text"":""$5x^3$""},{""id"":""C"",""text"":""$20x^4$""},{""id"":""D"",""text"":""$4x^3$""}]",A,pr,arkusz,2025-maj-2023-pr-matura,analiza,2
550e8400-e29b-41d4-a716-446655440016,closed,Rozwiązaniem równania $x^2-5x+6=0$ jest para liczb:,"[{""id"":""A"",""text"":""$2$ i $3$""},{""id"":""B"",""text"":""$-2$ i $-3$""},{""id"":""C"",""text"":""$1$ i $6$""},{""id"":""D"",""text"":""$-1$ i $-6$""}]",A,pr,arkusz,2024-maj-2023-pr-matura,algebra,4
550e8400-e29b-41d4-a716-446655440017,open,"Oblicz całkę $\displaystyle \int (2x+1)\,dx$.",,$x^2+x+C$,pr,arkusz,2023-grudzien-2023-pr-matura,analiza,5
550e8400-e29b-41d4-a716-446655440018,closed,Wartość logarytmu $\log_2 8$ jest równa:,"[{""id"":""A"",""text"":""$2$""},{""id"":""B"",""text"":""$3$""},{""id"":""C"",""text"":""$4$""},{""id"":""D"",""text"":""$8$""}]",B,pr,CKE,2024-czerwiec-2023-pr-matura,logarytmy,3
550e8400-e29b-41d4-a716-446655440019,closed,Ile wynosi suma kątów wewnętrznych czworokąta?,"[{""id"":""A"",""text"":""$180^\\circ$""},{""id"":""B"",""text"":""$270^\\circ$""},{""id"":""C"",""text"":""$360^\\circ$""},{""id"":""D"",""text"":""$540^\\circ$""}]",C,,arkusz,2024-maj-2017-null-osmaKlasa,geometria,1
550e8400-e29b-41d4-a716-446655440020,closed,Liczba $\frac{3}{4}$ w procentach to:,"[{""id"":""A"",""text"":""$34\\%$""},{""id"":""B"",""text"":""$43\\%$""},{""id"":""C"",""text"":""$75\\%$""},{""id"":""D"",""text"":""$60\\%$""}]",C,,arkusz,2023-czerwiec-2017-null-osmaKlasa,procenty,2
550e8400-e29b-41d4-a716-446655440021,open,Prostokąt ma boki $8$ cm i $5$ cm. Oblicz jego obwód i pole.,,"Obwód $26$ cm, pole $40$ cm$^2$",,arkusz,2025-maj-2021-null-osmaKlasa,geometria,1
550e8400-e29b-41d4-a716-446655440022,closed,Wartość wyrażenia $(-2)^3$ jest równa:,"[{""id"":""A"",""text"":""$6$""},{""id"":""B"",""text"":""$-6$""},{""id"":""C"",""text"":""$8$""},{""id"":""D"",""text"":""$-8$""}]",D,,zbiór,2024-grudzien-2024-null-osmaKlasa,potęgi,3
550e8400-e29b-41d4-a716-446655440023,closed,Prawdopodobieństwo wyrzucenia szóstki na kostce jest równe:,"[{""id"":""A"",""text"":""$\\frac{1}{2}$""},{""id"":""B"",""text"":""$\\frac{1}{3}$""},{""id"":""C"",""text"":""$\\frac{1}{6}$""},{""id"":""D"",""text"":""$\\frac{1}{12}$""}]",C,,arkusz,2025-sierpien-2024-null-osmaKlasa,rachunek prawdopodobieństwa,2
550e8400-e29b-41d4-a716-446655440024,open,Rozwiąż równanie $x^2 = 49$ w zbiorze liczb rzeczywistych.,,$x=7$ lub $x=-7$,,arkusz,2023-sierpien-2021-null-osmaKlasa,algebra,4
550e8400-e29b-41d4-a716-446655440025,closed,"Średnia arytmetyczna liczb $4$, $6$ i $8$ jest równa:","[{""id"":""A"",""text"":""$5$""},{""id"":""B"",""text"":""$6$""},{""id"":""C"",""text"":""$7$""},{""id"":""D"",""text"":""$18$""}]",B,,arkusz,2022-maj-2017-null-osmaKlasa,statystyka,1
550e8400-e29b-41d4-a716-446655440026,closed,"Wykres funkcji liniowej $y=kx$ przechodzi przez punkt $(2,6)$. Współczynnik $k$ wynosi:","[{""id"":""A"",""text"":""$2$""},{""id"":""B"",""text"":""$3$""},{""id"":""C"",""text"":""$4$""},{""id"":""D"",""text"":""$12$""}]",B,pp,autorskie,,funkcje,
550e8400-e29b-41d4-a716-446655440027,closed,Zbiorem rozwiązań nierówności $x^2 \le 9$ jest:,"[{""id"":""A"",""text"":""$(-\\infty,-3] \\cup [3,\\infty)$""},{""id"":""B"",""text"":""$[-3,3]$""},{""id"":""C"",""text"":""$(-3,3)$""},{""id"":""D"",""text"":""$(-\\infty,9]$""}]",B,pr,arkusz,2024-sierpien-2023-pr-matura,algebra,6
